danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre,song_name
0.831,0.8140000000000001,2,-7.364,1,0.42,0.0598,0.0134,0.0556,0.389,156.985,2Vc6NJ9PW9gD9q343XFRKx,124539,4,Dark Trap,Mercury: Retrograde
0.7190000000000001,0.493,8,-7.23,1,0.0794,0.401,0.0,0.118,0.124,115.08,7pgJBLVz5VmnL7uGHmRj6p,224427,4,Dark Trap,Pathology
0.85,0.893,5,-4.783,1,0.0623,0.0138,4.14e-06,0.372,0.0391,218.05,0vSWgAlfpye0WCGeNmuNhy,98821,4,Dark Trap,Symbiote
0.476,0.7809999999999999,0,-4.71,1,0.103,0.0237,0.0,0.114,0.175,186.948,0VSXnJqQkwuH2ei1nOQ1nu,123661,3,Dark Trap,ProductOfDrugs (Prod. The Virus and Antidote)
0.7979999999999999,0.624,2,-7.667999999999999,1,0.293,0.217,0.0,0.166,0.591,147.988,4jCeguq9rMTlbMmPHuO7S3,123298,4,Dark Trap,Venom
0.721,0.568,0,-11.295,1,0.414,0.0452,0.212,0.128,0.109,144.915,6fsypiJHyWmeINsOLC1cos,112511,4,Dark Trap,Gatteka
0.718,0.6679999999999999,8,-4.162,1,0.1369999999999999,0.0254,0.0078,0.124,0.038,130.826,0XfQbq7DaMOmVXgQ71eA6E,77584,4,Dark Trap,kamikaze (+ pulse)
0.6940000000000001,0.711,8,-5.525,1,0.221,0.0397,0.0,0.1119999999999999,0.283,138.049,0LLeuNBWPOg3XA73yab3PT,127524,3,Dark Trap,T.R.U. (Totally Rotten Underground)
0.774,0.7509999999999999,1,-2.445,1,0.198,0.0614,0.0,0.0728,0.1889999999999999,219.96,37gqBnUAZe8BY8WR56kDNk,140326,4,Dark Trap,I Put My Dick in Your Mental
0.893,0.907,11,-10.406,1,0.367,0.152,0.0311,0.5579999999999999,0.302,199.942,2ggqfj97qyiORmXoVFzP5j,121979,4,Dark Trap,Andromeda
0.8640000000000001,0.365,8,-10.219,1,0.0655,0.187,0.0,0.1159999999999999,0.0478,189.938,7EL7ifncK2PWFYThJjzR25,101172,4,Dark Trap,BRAINFOOD
0.736,0.932,1,-3.726,1,0.271,0.146,0.0025,0.182,0.18,124.514,0QiF3l617bIKVrkBqgdMHE,115775,4,Dark Trap,Troll Under the Bridge
0.825,0.7609999999999999,8,-5.388999999999999,1,0.104,0.0111,0.00359,0.3339999999999999,0.161,149.97,5o7ZDvfOry1MNhNLBOJulo,163371,4,Dark Trap,1000 Rounds
0.767,0.5760000000000001,10,-9.683,0,0.256,0.145,2.61e-06,0.0968,0.187,139.99,1umsRbM7L4ju7rn9aU8Ju6,96062,4,Dark Trap,Sacrifice
0.765,0.726,5,-5.58,1,0.191,0.0077,0.0,0.619,0.27,128.014,4SKqOHKYU5pgHr5UiVKiQN,135079,4,Dark Trap,Backpack
0.617,0.541,6,-4.113,1,0.78,0.125,0.0,0.369,0.43,159.996,4Ag89Y7qSUrpxcgRtSzSam,107999,4,Dark Trap,D(R)Own
0.755,0.298,1,-15.032,1,0.0915,0.154,0.3289999999999999,0.1009999999999999,0.0372,199.958,28xkYPSP0P5xu5vT6MQfCy,123054,4,Dark Trap,"Okay,ButThisIsTheLastTime"
0.8140000000000001,0.575,11,-9.635,1,0.0635,0.172,0.000291,0.109,0.288,120.004,3uE1swbcRp5BrO64UNy6Ex,192833,4,Dark Trap,TakingOutTheTrash
0.812,0.813,10,-5.582999999999999,0,0.0984,0.0987,0.00015,0.0758,0.348,128.066,3KJrwOuqiEwHq6QTreZT61,180880,4,Dark Trap,Io sono qui
0.8490000000000001,0.648,7,-6.188,1,0.0832,0.0725,0.00592,0.0984,0.196,212.15,4irYeuAi87yyGHcI4h9s0x,111020,4,Dark Trap,Paris
0.602,0.578,0,-5.61,1,0.0283,0.0343,0.0,0.1639999999999999,0.156,114.956,4QhUXx4ON40TIBrZIlnIke,186261,4,Dark Trap,Murder
0.8759999999999999,0.768,7,-6.606,1,0.201,0.1119999999999999,1.21e-05,0.283,0.72,111.958,09320vyX4qHd4GjHIpy5w0,124676,5,Dark Trap,High 'N Mighty
0.777,0.711,0,-3.902,1,0.1369999999999999,0.312,0.0,0.205,0.293,139.97299999999998,2SZLtfY7dz7NLSxxnvDDis,153685,4,Dark Trap,Euronymous
0.8290000000000001,0.59,9,-7.818,0,0.263,0.0391,0.0107,0.114,0.332,112.97,0KRKqIJPX6LT9v1ZQGbfn7,127128,4,Dark Trap,Hades
0.7829999999999999,0.929,11,0.551,0,0.0893,0.2,0.00414,0.6890000000000001,0.152,118.03,0jsbEBnXWgHLkvjV49vYVG,134447,4,Dark Trap,Nails
0.787,0.727,1,-7.194,1,0.265,0.000997,0.0017,0.376,0.21,141.52,0wxwXyrJYHyGUKlBaCIhgp,140038,4,Dark Trap,Squeeze
0.705,0.648,4,-10.467,0,0.141,0.00476,0.000595,0.373,0.3979999999999999,130.037,0vUhboOWxdj97denl4T91p,155350,4,Dark Trap,No Teeth
0.69,0.76,1,-5.431,1,0.0895,0.0525,0.0,0.134,0.0797,125.013,6xEnbXM1us9fDJy2LC0lru,154929,4,Dark Trap,Bang Ya Fucking Head
0.799,0.966,0,-4.586,1,0.366,0.089,0.0,0.6579999999999999,0.8640000000000001,139.967,4ZOxwKHoHlhIZPzucOUVoY,137221,4,Dark Trap,BLUE JUICE
0.936,0.476,1,-11.439,1,0.4029999999999999,0.0139,0.0,0.402,0.363,121.979,2AoJ1NSLrqfppo6oT5Bqc8,175543,4,Dark Trap,Loch Ness
0.838,0.634,8,-8.076,1,0.0931,0.00537,0.0,0.111,0.2239999999999999,114.771,30Q5BsSJBLb9SGm0BtuJj4,168202,4,Dark Trap,Hold Uh
0.964,0.51,1,-7.002999999999999,1,0.242,0.000214,6.47e-06,0.0549,0.474,130.028,3Xi5SYx5pOqte5tLKHEmPb,136650,4,Dark Trap,Bone Saw
0.83,0.387,10,-12.908,0,0.345,0.0858,0.407,0.0926,0.561,120.006,2bmSQxuradc103RXzvjTkE,132193,4,Dark Trap,Coffin Wave
0.455,0.525,5,-12.692,0,0.0455,0.136,0.7340000000000001,0.125,0.2789999999999999,119.999,2Tu4kHEeIVFn6Re2ybm2lQ,159974,4,Dark Trap,OhNo!
0.748,0.573,9,-9.907,1,0.0543,0.484,2.59e-06,0.0929,0.193,117.962,0QVG9r2otIXoWCHyh09SqU,195875,4,Dark Trap,TheArtOfCremation
0.745,0.688,6,-9.263,0,0.103,0.264,0.0090599999999999,0.077,0.522,114.997,78w3kPqUAwDjADBY3xAGHl,107750,5,Dark Trap,OakGroveRoad
0.722,0.519,0,-12.871,1,0.0516,0.0253,0.0114,0.1889999999999999,0.128,199.974,02803el8p3mKqcJzJ3Agpp,143833,4,Dark Trap,WhatWasThat
0.657,0.473,1,-12.050999999999998,1,0.0368,0.2319999999999999,0.026,0.108,0.153,150.029,5Njf3sGQoxQJqcR4gUbttZ,114500,4,Dark Trap,FunnyToSeeYouHere
0.936,0.474,1,-9.694,1,0.3929999999999999,0.0213,0.0,0.111,0.168,129.999,7BLFY8GsDyUkaARTv0uwKH,166910,4,Dark Trap,John Dee
0.765,0.62,10,-7.337999999999999,0,0.14,0.0643,0.0001899999999999,0.16,0.218,219.808,2bmjoUqk5ELqted5imBtMd,131350,4,Dark Trap,Kybalion
0.65,0.952,11,-2.6860000000000004,1,0.5,0.0912,0.351,0.337,0.256,209.998,4Uk53I7Lz6bzctGoyNxf8W,122211,3,Dark Trap,Killer
0.386,0.936,7,-5.551,1,0.604,0.1009999999999999,0.0019199999999999,0.381,0.193,190.15,7FoW7q7uZGOHlGi9w5mUxN,197053,4,Dark Trap,608
0.563,0.68,0,-5.952999999999999,1,0.39,0.236,3.28e-05,0.122,0.0396,180.218,6dm3aVYUAfZtdFeLAG6R9F,110000,3,Dark Trap,Eternal Dreams
0.777,0.902,1,-3.915,1,0.349,0.0905,0.0,0.275,0.462,129.985,5QArbhcHhpW48U4cK3Joj9,134844,4,Dark Trap,Nightmare Choir (I Been Asleep Too Long)
0.607,0.7490000000000001,2,-4.497,1,0.0728,0.0064099999999999,7.659999999999999e-05,0.2339999999999999,0.18,121.829,2Bkfvi3pCcwoJwnmd45OnA,126224,4,Dark Trap,Exodus
0.628,0.573,1,-8.161,1,0.0673,0.00362,0.0,0.0874,0.0387,115.503,2XLdbJRfl2UHHzIurEFgAA,132702,3,Dark Trap,Vengeance
0.4679999999999999,0.325,1,-8.267000000000001,1,0.245,0.115,0.726,0.109,0.0387,191.186,2Iwf4sAnEgkuxxnJ61du8z,90645,3,Dark Trap,Claustrophobia
0.512,0.44,1,-7.816,1,0.233,0.00386,3.11e-06,0.233,0.132,207.992,04MKRNwoX7TqQkA0ZrtMbC,86805,1,Dark Trap,Rearranged
0.504,0.48,3,-8.885,1,0.045,0.8320000000000001,0.000252,0.1009999999999999,0.878,173.993,5DV8yoddFyjLVfRT6pfAht,176901,4,Dark Trap,Paralax
0.608,0.662,1,-8.474,1,0.0338,0.0246,7.85e-06,0.0409,0.0637,117.031,1XKlzwkRZmyrz2OjVqNIyl,98482,4,Dark Trap,Exsanguination
0.7829999999999999,0.684,5,-7.435,1,0.0358,0.00873,0.000548,0.222,0.173,141.037,78SOPBLZeBjDQ9NVTePOPE,117447,4,Dark Trap,Mutiny
0.6679999999999999,0.479,10,-7.321000000000001,0,0.0436,0.0612,0.408,0.12,0.102,162.12,1NJel5c5LSc9Ac7UAeoJtp,128888,4,Dark Trap,Centipede
0.528,0.617,8,-6.122999999999999,1,0.0657,0.2019999999999999,0.153,0.146,0.0356,119.047,18hIrODUziu3KyUxeDKlcq,199664,4,Dark Trap,Грустная сука
0.7959999999999999,0.7559999999999999,8,-2.244,1,0.0572,0.0059,0.00679,0.128,0.0292,120.01,04xhIz4DiBGDECn7kIFodv,112000,4,Dark Trap,This World Is Sick
0.299,0.381,3,-6.9510000000000005,0,0.038,0.445,0.0023,0.0932,0.0392,136.46200000000002,6Q1LtmZPFRGNZbH6VdarBQ,234000,1,Dark Trap,Пламя
0.644,0.64,8,-7.877000000000001,1,0.0688,0.00329,0.0,0.146,0.175,217.888,3uvKXKQxcmjPT7letWh3Pf,125048,3,Dark Trap,2:45
0.473,0.843,1,-5.981,1,0.225,0.00345,2.53e-05,0.102,0.24,143.29399999999998,1K86gziny1mnNIisKBqzhH,183536,4,Dark Trap,who is he
0.471,0.618,10,-9.965,0,0.108,0.0219,0.00664,0.16,0.0392,110.337,7yvTs8trSYMtNNisA0nT73,125500,4,Dark Trap,Sleeping
0.665,0.446,1,-14.845,1,0.172,0.069,1.88e-05,0.3229999999999999,0.1169999999999999,115.282,3Pk6O7DndRfH1q6UFsCaWm,156048,4,Dark Trap,Timeless
0.812,0.7070000000000001,10,-6.815,0,0.0752,0.236,0.0,0.5870000000000001,0.248,219.984,5mPUo1HP5K4H6hepYHqbZx,175203,4,Dark Trap,Pound for Pound
0.262,0.897,4,-2.712,0,0.3979999999999999,0.0237,0.0,0.11,0.253,199.651,2x7mBK5ozd9hwneRKMVpkD,153104,4,Dark Trap,Finger Trembling
0.5710000000000001,0.865,8,-4.99,1,0.0397,0.0042,0.207,0.0906,0.177,150.017,3kBa1eXqkSvfCLmG8VqQ10,166426,4,Dark Trap,Overload
0.753,0.679,5,-7.0920000000000005,0,0.0349,0.324,4.210000000000001e-05,0.423,0.19,211.954,5XAPpyIoYF3QXP34Hv8Pvx,145078,4,Dark Trap,Kill Yourself (Part III)
0.935,0.429,1,-6.697,1,0.118,0.0308,0.0,0.102,0.0769,139.987,4yORBk6ZyYsJpnJchyZevc,123481,4,Dark Trap,2nd Hand
0.726,0.634,2,-6.843999999999999,1,0.0792,0.5529999999999999,4.43e-06,0.0916,0.318,211.95,3NSgQjYihV40pOmn8AQevz,126850,5,Dark Trap,Antarctica
0.8540000000000001,0.98,1,-1.181,1,0.0569,0.263,0.00053,0.5479999999999999,0.255,220.002,3SCVHoGHV7GL0hmqcOIpqh,122000,4,Dark Trap,Memoirs Of A Gorilla
0.526,0.62,8,-7.244,0,0.281,0.067,0.000241,0.139,0.187,112.027,70nmZhHZLNVYWP4NON41Zw,205766,4,Dark Trap,Runnin' Thru The 7th With My Woadies
0.84,0.444,3,-10.58,0,0.211,0.532,0.000884,0.0623,0.376,131.999,4owRIrDAJPqNWGf2SGC3H8,145636,4,Dark Trap,Mount Sinai
